date,state,vehicle_category,ev_sales_count,year,month,quarter,half_year,is_festival_season,year_month,months_since_start,national_share_pct,yoy_growth_pct,ev_sales_count_lag_1,ev_sales_count_lag_2,ev_sales_count_lag_3,ev_sales_count_lag_6,ev_sales_count_lag_12,ev_sales_count_rolling_3,ev_sales_count_rolling_6
2022-01-01,Delhi,2W,628,2022,1,1,2,0,2022-01,0,0.47,,,,,,,628.0,628.0
2022-01-01,Delhi,3W,179,2022,1,1,2,0,2022-01,0,0.13,-71.5,628.0,,,,,403.5,403.5
2022-01-01,Delhi,4W,89,2022,1,1,2,0,2022-01,0,0.07,-50.28,179.0,628.0,,,,298.6666666666667,298.6666666666667
2022-02-01,Delhi,2W,1114,2022,2,1,2,0,2022-02,1,0.84,1151.69,89.0,179.0,628.0,,,460.6666666666667,502.5
2022-02-01,Delhi,3W,318,2022,2,1,2,0,2022-02,1,0.24,-71.45,1114.0,89.0,179.0,,,507.0,465.6
2022-02-01,Delhi,4W,159,2022,2,1,2,0,2022-02,1,0.12,-50.0,318.0,1114.0,89.0,,,530.3333333333334,414.5
2022-03-01,Delhi,2W,622,2022,3,1,2,0,2022-03,2,0.47,291.19,159.0,318.0,1114.0,628.0,,366.3333333333333,413.5
2022-03-01,Delhi,3W,177,2022,3,1,2,0,2022-03,2,0.13,-71.54,622.0,159.0,318.0,179.0,,319.3333333333333,413.1666666666667
2022-03-01,Delhi,4W,88,2022,3,1,2,0,2022-03,2,0.07,-50.28,177.0,622.0,159.0,89.0,,295.6666666666667,413.0
2022-04-01,Delhi,2W,1040,2022,4,2,2,0,2022-04,3,0.78,1081.82,88.0,177.0,622.0,1114.0,,435.0,400.6666666666667
2022-04-01,Delhi,3W,297,2022,4,2,2,0,2022-04,3,0.22,-71.44,1040.0,88.0,177.0,318.0,,475.0,397.1666666666667
2022-04-01,Delhi,4W,148,2022,4,2,2,0,2022-04,3,0.11,-50.17,297.0,1040.0,88.0,159.0,,495.0,395.3333333333333
2022-05-01,Delhi,2W,1195,2022,5,2,2,0,2022-05,4,0.9,707.43,148.0,297.0,1040.0,622.0,628.0,546.6666666666666,490.8333333333333
2022-05-01,Delhi,3W,341,2022,5,2,2,0,2022-05,4,0.26,-71.46,1195.0,148.0,297.0,177.0,179.0,561.3333333333334,518.1666666666666
2022-05-01,Delhi,4W,170,2022,5,2,2,0,2022-05,4,0.13,-50.15,341.0,1195.0,148.0,88.0,89.0,568.6666666666666,531.8333333333334
2022-06-01,Delhi,2W,569,2022,6,2,2,0,2022-06,5,0.43,234.71,170.0,341.0,1195.0,1040.0,1114.0,360.0,453.3333333333333
2022-06-01,Delhi,3W,162,2022,6,2,2,0,2022-06,5,0.12,-71.53,569.0,170.0,341.0,297.0,318.0,300.3333333333333,430.8333333333333
2022-06-01,Delhi,4W,81,2022,6,2,2,0,2022-06,5,0.06,-50.0,162.0,569.0,170.0,148.0,159.0,270.6666666666667,419.6666666666667
2022-07-01,Delhi,2W,606,2022,7,3,1,0,2022-07,6,0.45,648.15,81.0,162.0,569.0,1195.0,622.0,283.0,321.5
2022-07-01,Delhi,3W,173,2022,7,3,1,0,2022-07,6,0.13,-71.45,606.0,81.0,162.0,341.0,177.0,286.6666666666667,293.5
2022-07-01,Delhi,4W,86,2022,7,3,1,0,2022-07,6,0.06,-50.29,173.0,606.0,81.0,170.0,88.0,288.3333333333333,279.5
2022-08-01,Delhi,2W,1212,2022,8,3,1,0,2022-08,7,0.91,1309.3,86.0,173.0,606.0,569.0,1040.0,490.3333333333333,386.6666666666667
2022-08-01,Delhi,3W,346,2022,8,3,1,0,2022-08,7,0.26,-71.45,1212.0,86.0,173.0,162.0,297.0,548.0,417.3333333333333
2022-08-01,Delhi,4W,173,2022,8,3,1,0,2022-08,7,0.13,-50.0,346.0,1212.0,86.0,81.0,148.0,577.0,432.6666666666667
2022-09-01,Delhi,2W,546,2022,9,3,1,0,2022-09,8,0.41,215.61,173.0,346.0,1212.0,606.0,1195.0,355.0,422.6666666666667
2022-09-01,Delhi,3W,156,2022,9,3,1,0,2022-09,8,0.12,-71.43,546.0,173.0,346.0,173.0,341.0,291.6666666666667,419.8333333333333
2022-09-01,Delhi,4W,78,2022,9,3,1,0,2022-09,8,0.06,-50.0,156.0,546.0,173.0,86.0,170.0,260.0,418.5
2022-10-01,Delhi,2W,655,2022,10,4,1,1,2022-10,9,0.49,739.74,78.0,156.0,546.0,1212.0,569.0,296.3333333333333,325.6666666666667
2022-10-01,Delhi,3W,187,2022,10,4,1,1,2022-10,9,0.14,-71.45,655.0,78.0,156.0,346.0,162.0,306.6666666666667,299.1666666666667
2022-10-01,Delhi,4W,93,2022,10,4,1,1,2022-10,9,0.07,-50.27,187.0,655.0,78.0,173.0,81.0,311.6666666666667,285.8333333333333
2022-11-01,Delhi,2W,871,2022,11,4,1,1,2022-11,10,0.65,836.56,93.0,187.0,655.0,546.0,606.0,383.6666666666667,340.0
2022-11-01,Delhi,3W,248,2022,11,4,1,1,2022-11,10,0.19,-71.53,871.0,93.0,187.0,156.0,173.0,404.0,355.3333333333333
2022-11-01,Delhi,4W,124,2022,11,4,1,1,2022-11,10,0.09,-50.0,248.0,871.0,93.0,78.0,86.0,414.3333333333333,363.0
2022-12-01,Delhi,2W,930,2022,12,4,1,1,2022-12,11,0.7,650.0,124.0,248.0,871.0,655.0,1212.0,434.0,408.8333333333333
2022-12-01,Delhi,3W,266,2022,12,4,1,1,2022-12,11,0.2,-71.4,930.0,124.0,248.0,187.0,346.0,440.0,422.0
2022-12-01,Delhi,4W,133,2022,12,4,1,1,2022-12,11,0.1,-50.0,266.0,930.0,124.0,93.0,173.0,443.0,428.6666666666667
2023-01-01,Delhi,2W,1697,2023,1,1,2,0,2023-01,12,0.85,1175.94,133.0,266.0,930.0,871.0,546.0,698.6666666666666,566.3333333333334
2023-01-01,Delhi,3W,485,2023,1,1,2,0,2023-01,12,0.24,-71.42,1697.0,133.0,266.0,248.0,156.0,771.6666666666666,605.8333333333334
2023-01-01,Delhi,4W,242,2023,1,1,2,0,2023-01,12,0.12,-50.1,485.0,1697.0,133.0,124.0,78.0,808.0,625.5
2023-02-01,Delhi,2W,1112,2023,2,1,2,0,2023-02,13,0.56,359.5,242.0,485.0,1697.0,930.0,655.0,613.0,655.8333333333334
2023-02-01,Delhi,3W,317,2023,2,1,2,0,2023-02,13,0.16,-71.49,1112.0,242.0,485.0,266.0,187.0,557.0,664.3333333333334
2023-02-01,Delhi,4W,158,2023,2,1,2,0,2023-02,13,0.08,-50.16,317.0,1112.0,242.0,133.0,93.0,529.0,668.5
2023-03-01,Delhi,2W,1228,2023,3,1,2,0,2023-03,14,0.62,677.22,158.0,317.0,1112.0,1697.0,871.0,567.6666666666666,590.3333333333334
2023-03-01,Delhi,3W,351,2023,3,1,2,0,2023-03,14,0.18,-71.42,1228.0,158.0,317.0,485.0,248.0,579.0,568.0
2023-03-01,Delhi,4W,175,2023,3,1,2,0,2023-03,14,0.09,-50.14,351.0,1228.0,158.0,242.0,124.0,584.6666666666666,556.8333333333334
2023-04-01,Delhi,2W,1153,2023,4,2,2,0,2023-04,15,0.58,558.86,175.0,351.0,1228.0,1112.0,930.0,559.6666666666666,563.6666666666666
2023-04-01,Delhi,3W,329,2023,4,2,2,0,2023-04,15,0.17,-71.47,1153.0,175.0,351.0,317.0,266.0,552.3333333333334,565.6666666666666
2023-04-01,Delhi,4W,164,2023,4,2,2,0,2023-04,15,0.08,-50.15,329.0,1153.0,175.0,158.0,133.0,548.6666666666666,566.6666666666666
2023-05-01,Delhi,2W,1417,2023,5,2,2,0,2023-05,16,0.71,764.02,164.0,329.0,1153.0,1228.0,1697.0,636.6666666666666,598.1666666666666
2023-05-01,Delhi,3W,404,2023,5,2,2,0,2023-05,16,0.2,-71.49,1417.0,164.0,329.0,351.0,485.0,661.6666666666666,607.0
2023-05-01,Delhi,4W,202,2023,5,2,2,0,2023-05,16,0.1,-50.0,404.0,1417.0,164.0,175.0,242.0,674.3333333333334,611.5
2023-06-01,Delhi,2W,848,2023,6,2,2,0,2023-06,17,0.43,319.8,202.0,404.0,1417.0,1153.0,1112.0,484.6666666666667,560.6666666666666
2023-06-01,Delhi,3W,242,2023,6,2,2,0,2023-06,17,0.12,-71.46,848.0,202.0,404.0,329.0,317.0,430.6666666666667,546.1666666666666
2023-06-01,Delhi,4W,121,2023,6,2,2,0,2023-06,17,0.06,-50.0,242.0,848.0,202.0,164.0,158.0,403.6666666666667,539.0
2023-07-01,Delhi,2W,808,2023,7,3,1,0,2023-07,18,0.41,567.77,121.0,242.0,848.0,1417.0,1228.0,390.3333333333333,437.5
2023-07-01,Delhi,3W,231,2023,7,3,1,0,2023-07,18,0.12,-71.41,808.0,121.0,242.0,404.0,351.0,386.6666666666667,408.6666666666667
2023-07-01,Delhi,4W,115,2023,7,3,1,0,2023-07,18,0.06,-50.22,231.0,808.0,121.0,202.0,175.0,384.6666666666667,394.1666666666667
2023-08-01,Delhi,2W,1777,2023,8,3,1,0,2023-08,19,0.89,1445.22,115.0,231.0,808.0,848.0,1153.0,707.6666666666666,549.0
2023-08-01,Delhi,3W,507,2023,8,3,1,0,2023-08,19,0.26,-71.47,1777.0,115.0,231.0,242.0,329.0,799.6666666666666,593.1666666666666
