session_id,start_time,end_time,energy_kwh,duration_hours,cost_inr,vehicle_type,duration_calc_hours,cost_per_kwh,hour_of_day,day_of_week,is_weekend,month
SES_37056,2024-08-18 11:41:00,2024-08-18 12:44:33,3.45,63.6,60.88,2W,1.0591666666666666,17.6463768115942,11,6,1,8
SES_33479,2024-03-21 13:30:00,2024-03-21 14:09:36,2.47,39.6,37.17,2W,0.66,15.048582995951417,13,3,0,3
SES_44633,2024-02-13 16:51:00,2024-02-13 17:24:38,2.18,33.6,34.7,2W,0.5605555555555556,15.917431192660551,16,1,0,2
SES_26298,2024-03-07 22:43:00,2024-03-08 00:36:23,2.88,113.4,50.82,2W,1.8897222222222223,17.645833333333336,22,3,0,3
SES_62778,2024-02-02 16:37:00,2024-02-02 18:40:52,33.2,123.9,555.39,4W,2.0644444444444443,16.728614457831323,16,4,0,2
SES_45751,2024-02-25 15:03:00,2024-02-25 16:57:21,3.45,114.4,54.85,2W,1.9058333333333333,15.898550724637682,15,6,1,2
SES_31916,2024-08-15 18:44:00,2024-08-15 20:29:31,2.13,105.5,34.83,2W,1.7586111111111111,16.35211267605634,18,3,0,8
SES_18180,2024-01-15 14:06:00,2024-01-15 14:51:57,35.0,46.0,593.59,4W,0.7658333333333334,16.959714285714288,14,0,0,1
SES_20246,2024-09-25 18:27:00,2024-09-25 19:55:38,9.78,88.6,161.5,3W,1.4772222222222222,16.513292433537835,18,2,0,9
SES_80608,2024-05-19 23:25:00,2024-05-20 00:25:50,7.53,60.8,127.66,3W,1.0138888888888888,16.9535192563081,23,6,1,5
SES_38498,2024-05-18 22:12:00,2024-05-18 23:00:19,1.77,48.3,30.96,2W,0.8052777777777778,17.491525423728813,22,5,1,5
SES_44860,2024-12-27 16:49:00,2024-12-27 18:37:57,2.74,109.0,41.52,2W,1.8158333333333334,15.153284671532846,16,4,0,12
SES_13248,2024-01-28 19:40:00,2024-01-28 20:56:49,33.24,76.8,572.08,4W,1.2802777777777778,17.210589651022865,19,6,1,1
SES_13173,2024-05-30 23:51:00,2024-05-31 00:46:47,9.8,55.8,176.25,3W,0.9297222222222222,17.98469387755102,23,3,0,5
SES_57035,2024-09-11 06:18:00,2024-09-11 08:14:13,40.19,116.2,642.2,4W,1.9369444444444444,15.979099278427471,6,2,0,9
SES_22411,2024-01-31 04:47:00,2024-01-31 07:13:47,46.05,146.8,709.44,4W,2.446388888888889,15.405863192182412,4,2,0,1
SES_66294,2024-03-11 20:33:00,2024-03-11 21:43:13,2.32,70.2,36.06,2W,1.1702777777777778,15.543103448275865,20,0,0,3
SES_88993,2024-03-27 06:26:00,2024-03-27 07:03:35,2.52,37.6,38.88,2W,0.6263888888888889,15.428571428571429,6,2,0,3
SES_63727,2024-06-07 06:19:00,2024-06-07 07:48:14,1.89,89.2,30.98,2W,1.4872222222222222,16.391534391534393,6,4,0,6
SES_92225,2024-05-06 11:52:00,2024-05-06 13:36:29,2.33,104.5,37.45,2W,1.7413888888888889,16.07296137339056,11,0,0,5
SES_34912,2024-12-29 06:48:00,2024-12-29 08:00:13,25.67,72.2,426.61,4W,1.2036111111111112,16.61901051811453,6,6,1,12
SES_64186,2024-12-21 11:34:00,2024-12-21 12:21:20,9.81,47.3,161.35,3W,0.7888888888888889,16.44750254841998,11,5,1,12
SES_89833,2024-08-12 22:00:00,2024-08-12 23:04:42,9.92,64.7,170.61,3W,1.0783333333333334,17.19858870967742,22,0,0,8
SES_42544,2024-10-02 22:43:00,2024-10-03 00:01:29,5.68,78.5,85.85,3W,1.3080555555555555,15.11443661971831,22,2,0,10
SES_14345,2024-10-30 20:08:00,2024-10-30 21:13:40,2.6,65.7,39.07,2W,1.0944444444444446,15.026923076923076,20,2,0,10
SES_51283,2024-09-20 20:09:00,2024-09-20 22:04:53,2.15,115.9,34.99,2W,1.9313888888888888,16.274418604651164,20,4,0,9
SES_38211,2024-03-13 00:51:00,2024-03-13 01:29:44,2.8,38.7,49.26,2W,0.6455555555555555,17.59285714285714,0,2,0,3
SES_58792,2024-10-31 23:59:00,2024-11-01 01:26:02,7.43,87.0,114.92,3W,1.4505555555555556,15.467025572005385,23,3,0,10
SES_25875,2024-01-31 08:17:00,2024-01-31 09:24:05,2.63,67.1,43.5,2W,1.1180555555555556,16.539923954372625,8,2,0,1
SES_37670,2024-11-21 20:43:00,2024-11-21 21:30:06,52.78,47.1,813.79,4W,0.785,15.418529746115953,20,3,0,11
SES_54400,2024-12-13 13:48:00,2024-12-13 14:41:57,5.07,54.0,88.51,3W,0.8991666666666667,17.45759368836292,13,4,0,12
SES_55886,2024-11-30 13:44:00,2024-11-30 15:41:08,21.12,117.1,330.77,4W,1.9522222222222223,15.661458333333332,13,5,1,11
SES_79599,2024-02-23 12:55:00,2024-02-23 14:14:31,8.1,79.5,144.89,3W,1.3252777777777778,17.887654320987654,12,4,0,2
SES_53918,2024-03-07 17:30:00,2024-03-07 18:22:18,7.87,52.3,127.85,3W,0.8716666666666667,16.24523506988564,17,3,0,3
SES_37339,2024-01-25 20:04:00,2024-01-25 21:32:14,1.83,88.2,28.15,2W,1.4705555555555556,15.382513661202184,20,3,0,1
SES_88538,2024-02-03 22:42:00,2024-02-04 01:04:58,40.11,143.0,693.95,4W,2.3827777777777777,17.301171777611568,22,5,1,2
SES_78591,2024-07-15 22:31:00,2024-07-15 23:20:16,6.59,49.3,112.38,3W,0.8211111111111111,17.05311077389985,22,0,0,7
SES_22677,2024-03-06 13:18:00,2024-03-06 14:45:25,5.8,87.4,99.71,3W,1.4569444444444444,17.19137931034483,13,2,0,3
SES_40584,2024-02-20 08:18:00,2024-02-20 10:59:16,23.91,161.3,423.98,4W,2.687777777777778,17.7323295692179,8,1,0,2
SES_36571,2024-04-23 19:08:00,2024-04-23 21:39:47,59.98,151.8,1021.96,4W,2.5297222222222224,17.03834611537179,19,1,0,4
SES_39223,2024-05-25 00:12:00,2024-05-25 01:36:54,9.56,84.9,152.79,3W,1.415,15.982217573221755,0,5,1,5
SES_57283,2024-12-03 19:38:00,2024-12-03 20:24:06,40.79,46.1,627.46,4W,0.7683333333333333,15.382691836234372,19,1,0,12
SES_60544,2024-02-29 00:17:00,2024-02-29 01:00:07,2.07,43.1,33.24,2W,0.7186111111111111,16.057971014492757,0,3,0,2
SES_53871,2024-09-20 20:39:00,2024-09-20 21:18:24,3.37,39.4,53.51,2W,0.6566666666666666,15.87833827893175,20,4,0,9
SES_25409,2024-05-15 09:42:00,2024-05-15 10:24:20,5.72,42.3,93.29,3W,0.7055555555555556,16.30944055944056,9,2,0,5
SES_87941,2024-02-18 10:08:00,2024-02-18 10:49:50,6.13,41.8,94.04,3W,0.6972222222222222,15.340946166394781,10,6,1,2
SES_17678,2024-12-24 22:52:00,2024-12-25 00:36:56,33.2,104.9,578.79,4W,1.748888888888889,17.433433734939758,22,1,0,12
SES_96483,2024-08-10 09:15:00,2024-08-10 10:41:30,2.86,86.5,47.42,2W,1.4416666666666667,16.58041958041958,9,5,1,8
SES_49236,2024-04-08 10:06:00,2024-04-08 11:02:16,6.6,56.3,98.96,3W,0.9377777777777778,14.993939393939394,10,0,0,4
SES_31461,2024-03-12 23:32:00,2024-03-13 01:11:48,52.88,99.8,817.93,4W,1.6633333333333333,15.467662632375188,23,1,0,3
SES_47691,2024-09-08 10:29:00,2024-09-08 11:44:44,5.11,75.7,84.69,3W,1.2622222222222221,16.573385518590996,10,6,1,9
SES_52757,2024-01-23 23:02:00,2024-01-24 00:05:41,7.76,63.7,133.98,3W,1.061388888888889,17.26546391752577,23,1,0,1
SES_69090,2024-06-11 08:02:00,2024-06-11 09:24:18,5.16,82.3,87.98,3W,1.3716666666666666,17.050387596899224,8,1,0,6
SES_24083,2024-03-07 19:38:00,2024-03-07 20:42:00,7.61,64.0,114.97,3W,1.0666666666666667,15.107752956636004,19,3,0,3
SES_33046,2024-10-24 20:14:00,2024-10-24 20:45:03,2.31,31.1,35.61,2W,0.5175,15.415584415584416,20,3,0,10
SES_50155,2024-12-14 18:31:00,2024-12-14 19:20:34,7.14,49.6,124.96,3W,0.8261111111111111,17.501400560224088,18,5,1,12
SES_43218,2024-04-03 13:08:00,2024-04-03 14:34:13,8.22,86.2,138.03,3W,1.4369444444444444,16.791970802919707,13,2,0,4
SES_67322,2024-02-01 08:32:00,2024-02-01 09:36:46,44.18,64.8,749.49,4W,1.0794444444444444,16.96446355817112,8,3,0,2
SES_59675,2024-06-11 18:06:00,2024-06-11 19:09:08,6.0,63.1,104.23,3W,1.0522222222222222,17.371666666666666,18,1,0,6
SES_57388,2024-06-15 16:03:00,2024-06-15 17:34:34,2.14,91.6,32.98,2W,1.5261111111111112,15.411214953271026,16,5,1,6
SES_28639,2024-12-21 22:47:00,2024-12-21 23:24:51,3.32,37.9,57.55,2W,0.6308333333333334,17.33433734939759,22,5,1,12
SES_36031,2024-01-28 02:33:00,2024-01-28 04:53:43,38.45,140.7,656.43,4W,2.3452777777777776,17.07230169050715,2,6,1,1
SES_58122,2024-06-22 05:17:00,2024-06-22 06:25:55,21.2,68.9,335.61,4W,1.148611111111111,15.830660377358491,5,5,1,6
SES_51081,2024-05-31 14:32:00,2024-05-31 15:39:10,6.2,67.2,102.71,3W,1.1194444444444445,16.566129032258065,14,4,0,5
SES_78094,2024-06-25 18:13:00,2024-06-25 19:30:04,6.83,77.1,114.78,3W,1.2844444444444445,16.805270863836018,18,1,0,6
SES_28102,2024-01-17 14:08:00,2024-01-17 15:12:57,8.59,65.0,149.04,3W,1.0825,17.350407450523864,14,2,0,1
SES_93483,2024-08-18 14:11:00,2024-08-18 15:51:53,29.62,100.9,517.57,4W,1.6813888888888888,17.47366644159352,14,6,1,8
SES_22212,2024-02-14 11:32:00,2024-02-14 12:48:30,35.36,76.5,597.74,4W,1.275,16.904411764705884,11,2,0,2
SES_64514,2024-01-29 02:07:00,2024-01-29 03:30:15,1.53,83.3,24.47,2W,1.3875,15.99346405228758,2,0,0,1
SES_82784,2024-12-10 19:55:00,2024-12-10 20:33:06,2.96,38.1,49.09,2W,0.635,16.58445945945946,19,1,0,12
SES_14606,2024-08-23 19:37:00,2024-08-23 20:45:46,8.06,68.8,133.07,3W,1.146111111111111,16.509925558312652,19,4,0,8
SES_84323,2024-02-10 16:37:00,2024-02-10 17:27:21,9.89,50.4,161.97,3W,0.8391666666666666,16.37714863498483,16,5,1,2
SES_25166,2024-08-22 12:03:00,2024-08-22 13:10:52,8.84,67.9,144.62,3W,1.1311111111111112,16.35972850678733,12,3,0,8
SES_63933,2024-02-03 17:43:00,2024-02-03 19:51:22,50.93,128.4,894.77,4W,2.1394444444444445,17.56862360102101,17,5,1,2
SES_94639,2024-10-13 19:56:00,2024-10-13 21:35:20,35.44,99.3,546.13,4W,1.6555555555555554,15.409988713318285,19,6,1,10
SES_82757,2024-12-14 21:11:00,2024-12-14 23:26:03,41.82,135.1,659.4,4W,2.2508333333333335,15.767575322812052,21,5,1,12
SES_26454,2024-09-07 09:54:00,2024-09-07 12:50:02,31.24,176.0,560.96,4W,2.9338888888888888,17.956466069142127,9,5,1,9
SES_70760,2024-02-27 05:52:00,2024-02-27 06:40:11,26.63,48.2,456.57,4W,0.8030555555555555,17.14494930529478,5,1,0,2
SES_90536,2024-09-08 07:50:00,2024-09-08 08:52:14,8.64,62.2,142.77,3W,1.0372222222222223,16.524305555555557,7,6,1,9
SES_17852,2024-08-14 18:31:00,2024-08-14 19:50:53,1.83,79.9,32.8,2W,1.331388888888889,17.92349726775956,18,2,0,8
SES_25965,2024-12-10 18:55:00,2024-12-10 20:26:55,30.42,91.9,477.02,4W,1.5319444444444446,15.681130834976987,18,1,0,12
SES_45165,2024-03-14 09:29:00,2024-03-14 11:17:08,1.68,108.1,28.14,2W,1.8022222222222222,16.75,9,3,0,3
SES_30593,2024-07-19 10:06:00,2024-07-19 12:24:06,27.97,138.1,477.59,4W,2.3016666666666667,17.07508044333214,10,4,0,7
SES_64692,2024-01-12 21:36:00,2024-01-12 23:10:06,33.07,94.1,544.07,4W,1.5683333333333334,16.452071363773815,21,4,0,1
SES_81521,2024-12-14 20:22:00,2024-12-14 21:32:35,2.28,70.6,36.02,2W,1.176388888888889,15.79824561403509,20,5,1,12
SES_59175,2024-04-28 17:41:00,2024-04-28 19:31:03,49.05,110.1,831.58,4W,1.8341666666666667,16.953720693170236,17,6,1,4
SES_67340,2024-02-02 16:30:00,2024-02-02 17:18:23,3.22,48.4,54.29,2W,0.8063888888888889,16.860248447204967,16,4,0,2
SES_50339,2024-12-15 08:23:00,2024-12-15 11:05:14,32.23,162.2,513.95,4W,2.703888888888889,15.946323301272109,8,6,1,12
SES_77610,2024-10-16 18:54:00,2024-10-16 21:30:11,34.49,156.2,588.36,4W,2.6030555555555557,17.05885763989562,18,2,0,10
SES_57617,2024-08-28 19:19:00,2024-08-28 20:10:35,6.78,51.6,115.31,3W,0.8597222222222223,17.007374631268437,19,2,0,8
SES_95931,2024-02-11 10:37:00,2024-02-11 11:36:10,6.14,59.2,108.34,3W,0.9861111111111112,17.64495114006515,10,6,1,2
SES_84665,2024-02-04 04:51:00,2024-02-04 05:44:37,7.41,53.6,116.6,3W,0.8936111111111111,15.73549257759784,4,6,1,2
SES_28495,2024-06-22 19:39:00,2024-06-22 20:36:38,2.31,57.6,35.11,2W,0.9605555555555556,15.199134199134198,19,5,1,6
SES_11191,2024-07-01 13:46:00,2024-07-01 15:26:39,2.79,100.7,43.95,2W,1.6775,15.752688172043012,13,0,0,7
SES_94413,2024-03-11 07:27:00,2024-03-11 09:43:16,40.43,136.3,708.65,4W,2.2711111111111113,17.52782587187732,7,0,0,3
SES_63586,2024-11-02 09:17:00,2024-11-02 10:01:49,8.75,44.8,137.7,3W,0.7469444444444444,15.737142857142857,9,5,1,11
SES_60001,2024-04-20 20:27:00,2024-04-20 22:18:39,2.45,111.7,40.88,2W,1.8608333333333333,16.685714285714287,20,5,1,4
SES_70697,2024-11-05 09:24:00,2024-11-05 10:31:06,2.35,67.1,37.26,2W,1.1183333333333334,15.855319148936168,9,1,0,11
SES_75080,2024-02-27 01:10:00,2024-02-27 02:56:15,1.63,106.3,27.21,2W,1.7708333333333333,16.693251533742334,1,1,0,2
SES_10164,2024-06-09 19:08:00,2024-06-09 20:23:40,8.32,75.7,142.35,3W,1.261111111111111,17.109375,19,6,1,6
