session_id,station_id,session_start,session_end,duration_minutes,energy_delivered_kwh,peak_power_kw,average_power_kw,total_cost_inr,cost_per_kwh,user_id,payment_method,charging_completed,connector_type,operator,city,state,session_type,vehicle_type,start_soc_percent,end_soc_percent,temperature_c,session_rating
SES00000001,REAL_0001,2025-07-18 03:15:28,2025-07-18 03:55:28,40,28.41,50.0,36.7,340.88,12.0,USER307720,Wallet,True,"CCS, CHAdeMO",TATA Power,New Delhi,Delhi,DC Fast,Commercial,28,92,35,4
SES00000002,REAL_0001,2025-08-29 10:10:28,2025-08-29 10:41:28,31,22.94,50.0,44.9,275.24,12.0,USER394429,Cash,True,"CCS, CHAdeMO",TATA Power,New Delhi,Delhi,DC Fast,4-Wheeler,29,90,31,4
SES00000003,REAL_0001,2025-08-31 10:01:28,2025-08-31 10:26:28,25,16.65,50.0,36.5,199.82,12.0,USER176398,Wallet,True,"CCS, CHAdeMO",TATA Power,New Delhi,Delhi,DC Fast,2-Wheeler,25,88,35,4
SES00000004,REAL_0001,2025-08-14 09:32:28,2025-08-14 10:13:28,41,25.37,50.0,45.6,304.45,12.0,USER388028,Cash,True,"CCS, CHAdeMO",TATA Power,New Delhi,Delhi,DC Fast,Commercial,19,71,33,4
SES00000005,REAL_0001,2025-09-01 03:22:28,2025-09-01 03:46:28,24,15.3,50.0,35.1,183.57,12.0,USER209064,UPI,True,"CCS, CHAdeMO",TATA Power,New Delhi,Delhi,DC Fast,4-Wheeler,39,73,32,2
SES00000006,REAL_0001,2025-08-08 00:39:28,2025-08-08 01:08:28,29,18.26,50.0,37.8,219.15,12.0,USER472777,UPI,False,"CCS, CHAdeMO",TATA Power,New Delhi,Delhi,DC Fast,4-Wheeler,29,83,27,5
SES00000007,REAL_0001,2025-09-10 06:49:28,2025-09-10 07:08:28,19,11.29,50.0,37.5,135.53,12.0,USER408810,Wallet,True,"CCS, CHAdeMO",TATA Power,New Delhi,Delhi,DC Fast,Commercial,30,91,36,5
SES00000008,REAL_0001,2025-09-14 02:06:28,2025-09-14 02:51:28,45,25.07,50.0,37.6,300.83,12.0,USER887665,Wallet,True,"CCS, CHAdeMO",TATA Power,New Delhi,Delhi,DC Fast,Commercial,27,62,33,2
SES00000009,REAL_0001,2025-09-26 22:34:28,2025-09-26 23:13:28,39,21.72,50.0,40.9,260.64,12.0,USER408697,Card,True,"CCS, CHAdeMO",TATA Power,New Delhi,Delhi,DC Fast,Commercial,21,86,35,2
SES00000010,REAL_0001,2025-09-13 04:48:28,2025-09-13 05:28:28,40,21.68,50.0,36.9,260.17,12.0,USER566102,Wallet,True,"CCS, CHAdeMO",TATA Power,New Delhi,Delhi,DC Fast,2-Wheeler,14,81,31,4
SES00000011,REAL_0001,2025-09-01 08:07:28,2025-09-01 08:52:28,45,30.77,50.0,42.1,369.24,12.0,USER596282,Wallet,True,"CCS, CHAdeMO",TATA Power,New Delhi,Delhi,DC Fast,4-Wheeler,37,83,38,4
SES00000012,REAL_0001,2025-10-02 01:10:28,2025-10-02 01:28:28,18,10.41,50.0,37.9,124.92,12.0,USER673906,Cash,False,"CCS, CHAdeMO",TATA Power,New Delhi,Delhi,DC Fast,4-Wheeler,38,91,37,4
SES00000013,REAL_0001,2025-09-02 21:09:28,2025-09-02 21:44:28,35,19.27,50.0,38.0,231.24,12.0,USER176655,Wallet,True,"CCS, CHAdeMO",TATA Power,New Delhi,Delhi,DC Fast,4-Wheeler,17,74,27,5
SES00000014,REAL_0001,2025-07-16 08:16:28,2025-07-16 09:00:28,44,30.33,50.0,44.5,363.99,12.0,USER842406,Cash,False,"CCS, CHAdeMO",TATA Power,New Delhi,Delhi,DC Fast,4-Wheeler,21,89,40,5
SES00000015,REAL_0001,2025-09-08 01:51:28,2025-09-08 02:21:28,30,19.19,50.0,35.1,230.3,12.0,USER749230,Cash,True,"CCS, CHAdeMO",TATA Power,New Delhi,Delhi,DC Fast,Commercial,26,66,27,5
SES00000016,REAL_0001,2025-09-22 10:36:28,2025-09-22 11:11:28,35,24.83,50.0,41.4,297.99,12.0,USER889793,Card,False,"CCS, CHAdeMO",TATA Power,New Delhi,Delhi,DC Fast,Commercial,37,79,29,4
SES00000017,REAL_0001,2025-09-13 12:01:28,2025-09-13 12:22:28,21,13.17,50.0,41.8,158.02,12.0,USER297408,Cash,True,"CCS, CHAdeMO",TATA Power,New Delhi,Delhi,DC Fast,2-Wheeler,17,72,29,5
SES00000018,REAL_0001,2025-09-15 08:15:28,2025-09-15 08:36:28,21,12.34,50.0,36.2,148.09,12.0,USER254053,Card,True,"CCS, CHAdeMO",TATA Power,New Delhi,Delhi,DC Fast,2-Wheeler,12,82,20,4
SES00000019,REAL_0001,2025-08-29 04:02:28,2025-08-29 04:29:28,27,15.61,50.0,41.4,187.26,12.0,USER420857,Cash,True,"CCS, CHAdeMO",TATA Power,New Delhi,Delhi,DC Fast,2-Wheeler,29,90,20,4
SES00000020,REAL_0001,2025-10-03 03:42:28,2025-10-03 03:57:28,15,10.39,50.0,41.1,124.74,12.0,USER590575,UPI,False,"CCS, CHAdeMO",TATA Power,New Delhi,Delhi,DC Fast,Commercial,28,82,32,5
SES00000021,REAL_0001,2025-09-08 08:59:28,2025-09-08 09:34:28,35,24.6,50.0,35.7,295.23,12.0,USER573965,UPI,True,"CCS, CHAdeMO",TATA Power,New Delhi,Delhi,DC Fast,Commercial,17,60,20,3
SES00000022,REAL_0001,2025-08-03 19:41:28,2025-08-03 20:26:28,45,26.68,50.0,44.2,320.1,12.0,USER178110,UPI,True,"CCS, CHAdeMO",TATA Power,New Delhi,Delhi,DC Fast,2-Wheeler,38,89,32,3
