session_id,start_time,end_time,energy_kwh,duration_minutes,cost_inr,vehicle_type
SES_37056,2024-08-18 11:41:00,2024-08-18 12:44:33,3.45,63.6,60.88,2W
SES_33479,2024-03-21 13:30:00,2024-03-21 14:09:36,2.47,39.6,37.17,2W
SES_44633,2024-02-13 16:51:00,2024-02-13 17:24:38,2.18,33.6,34.7,2W
SES_26298,2024-03-07 22:43:00,2024-03-08 00:36:23,2.88,113.4,50.82,2W
SES_62778,2024-02-02 16:37:00,2024-02-02 18:40:52,33.2,123.9,555.39,4W
SES_45751,2024-02-25 15:03:00,2024-02-25 16:57:21,3.45,114.4,54.85,2W
SES_31916,2024-08-15 18:44:00,2024-08-15 20:29:31,2.13,105.5,34.83,2W
SES_18180,2024-01-15 14:06:00,2024-01-15 14:51:57,35.0,46.0,593.59,4W
SES_20246,2024-09-25 18:27:00,2024-09-25 19:55:38,9.78,88.6,161.5,3W
SES_80608,2024-05-19 23:25:00,2024-05-20 00:25:50,7.53,60.8,127.66,3W
SES_38498,2024-05-18 22:12:00,2024-05-18 23:00:19,1.77,48.3,30.96,2W
SES_44860,2024-12-27 16:49:00,2024-12-27 18:37:57,2.74,109.0,41.52,2W
SES_13248,2024-01-28 19:40:00,2024-01-28 20:56:49,33.24,76.8,572.08,4W
SES_13173,2024-05-30 23:51:00,2024-05-31 00:46:47,9.8,55.8,176.25,3W
SES_57035,2024-09-11 06:18:00,2024-09-11 08:14:13,40.19,116.2,642.2,4W
SES_22411,2024-01-31 04:47:00,2024-01-31 07:13:47,46.05,146.8,709.44,4W
SES_66294,2024-03-11 20:33:00,2024-03-11 21:43:13,2.32,70.2,36.06,2W
SES_88993,2024-03-27 06:26:00,2024-03-27 07:03:35,2.52,37.6,38.88,2W
SES_63727,2024-06-07 06:19:00,2024-06-07 07:48:14,1.89,89.2,30.98,2W
SES_92225,2024-05-06 11:52:00,2024-05-06 13:36:29,2.33,104.5,37.45,2W
SES_34912,2024-12-29 06:48:00,2024-12-29 08:00:13,25.67,72.2,426.61,4W
SES_64186,2024-12-21 11:34:00,2024-12-21 12:21:20,9.81,47.3,161.35,3W
SES_89833,2024-08-12 22:00:00,2024-08-12 23:04:42,9.92,64.7,170.61,3W
SES_42544,2024-10-02 22:43:00,2024-10-03 00:01:29,5.68,78.5,85.85,3W
SES_14345,2024-10-30 20:08:00,2024-10-30 21:13:40,2.6,65.7,39.07,2W
SES_51283,2024-09-20 20:09:00,2024-09-20 22:04:53,2.15,115.9,34.99,2W
SES_38211,2024-03-13 00:51:00,2024-03-13 01:29:44,2.8,38.7,49.26,2W
SES_58792,2024-10-31 23:59:00,2024-11-01 01:26:02,7.43,87.0,114.92,3W
SES_25875,2024-01-31 08:17:00,2024-01-31 09:24:05,2.63,67.1,43.5,2W
SES_37670,2024-11-21 20:43:00,2024-11-21 21:30:06,52.78,47.1,813.79,4W
SES_54400,2024-12-13 13:48:00,2024-12-13 14:41:57,5.07,54.0,88.51,3W
SES_55886,2024-11-30 13:44:00,2024-11-30 15:41:08,21.12,117.1,330.77,4W
SES_79599,2024-02-23 12:55:00,2024-02-23 14:14:31,8.1,79.5,144.89,3W
SES_53918,2024-03-07 17:30:00,2024-03-07 18:22:18,7.87,52.3,127.85,3W
SES_37339,2024-01-25 20:04:00,2024-01-25 21:32:14,1.83,88.2,28.15,2W
SES_88538,2024-02-03 22:42:00,2024-02-04 01:04:58,40.11,143.0,693.95,4W
SES_78591,2024-07-15 22:31:00,2024-07-15 23:20:16,6.59,49.3,112.38,3W
SES_22677,2024-03-06 13:18:00,2024-03-06 14:45:25,5.8,87.4,99.71,3W
SES_40584,2024-02-20 08:18:00,2024-02-20 10:59:16,23.91,161.3,423.98,4W
SES_36571,2024-04-23 19:08:00,2024-04-23 21:39:47,59.98,151.8,1021.96,4W
